Client,Warehouse,Product,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19,2024-02-26,2024-03-04,2024-03-11,2024-03-18,2024-03-25,2024-04-01
0,1,367,0.43056819860342965,0.40688001892917286,0.44160550646729185,0.6135271394479955,0.6392057406051606,0.6770892062944576,0.724656821679464,0.7875511985553821,0.7264840965942576,0.7576874138766522,0.7536034833578515,0.7355144062453823,0.7332264457077872
0,1,639,4.161341374303304,3.697285744214437,4.837458111143047,3.9891771221171854,4.577491771707998,4.675614038315296,5.420938379261893,5.1157962376974515,4.610987597105146,5.17209154558288,4.905213520165272,5.262842609926694,5.004836922040636
0,1,655,3.179324912701548,3.7401583444600135,3.9298721119405555,4.982875837413048,4.491966481126492,4.305524112241558,5.111150941988211,5.556866116022582,5.197380418279089,5.932651822101455,6.103224528458116,5.979983677925129,6.1181217393033105
0,1,1149,0.8493860589274473,0.5143511676165752,0.5042332227540554,0.6026250011376517,0.7935998575014058,0.8493991371244786,0.7381192384679349,0.8390746893058043,0.7472237652145085,0.9185497187404451,0.7763121555879425,0.7505823216029348,0.80842971177593
0,1,1485,2.8756847855349714,3.7794659136191178,4.632282357163767,5.851040204294973,5.870069841007669,5.729939779889016,6.252549233952569,6.9431231459360685,9.038232816817738,9.825540441916193,11.33825757634419,10.046758834403795,9.331593672141505
0,1,1965,0.6498170910422055,1.9473491175919146,3.0153161410453166,3.833413397347567,4.119021284786415,5.675713676527775,6.627741472496802,6.967793281650071,6.794932962671062,8.016613635374412,7.65127531923228,7.199795936981321,7.383512028800296
0,1,1969,1.2725406665201646,0.9308263412455186,1.101072075432539,1.0651963681472225,0.9660710940117542,1.1225725746348552,1.0427048198857638,0.9913640553122397,0.9810446276871169,1.1099451708785697,1.0382206117614758,1.028056987333635,1.022010124000867
0,1,3179,1.5820113393568693,1.5587305107108842,2.0867588116704883,1.6065706774357462,1.9937123504548326,1.836217163079859,1.9093473273303232,2.0200273729236966,1.9926528116400477,2.1183025088776852,1.9226992053014929,2.0643555713883277,1.9370279219880895
0,1,3234,0.35262697175556307,0.6044362623698477,0.6004826757349826,0.5671473223321883,0.5916000506140263,0.7025553415889566,0.7726070931708581,0.8523329955493584,0.7048096875484686,0.7090762553372866,0.7148925770894189,0.7342304156876683,0.7478833965621352
0,1,3463,0.632737620224816,0.6636558238322402,1.018022182145866,0.784625302145119,0.7929476162678726,0.8978660513981892,0.9722377648494002,0.9066299681124743,0.8407508312186753,0.8614717231398582,0.8974471931136573,0.9530373964030651,0.9853688540823592
0,1,3515,0.7709075047380646,0.671980704864893,0.7385354310369212,1.104353184375866,0.7045753370599341,0.677800891539687,0.7139138429581726,0.9642614018307445,0.8879124304349727,0.830307455421981,0.7565142081737322,0.7783041859102665,0.9380608533872498
0,1,4337,3.4690645976292607,3.0661730038845545,3.8497240624627422,3.1713647293006475,3.3818621833031624,3.2663829135167353,3.025559862519813,3.1801838681850714,2.9913568323039996,2.9019690529908098,3.152554376628353,3.017874191745059,3.0964779631512953
